home_team,away_team,home_odds,away_odds,draw_odds
Ottawa Senators,Vancouver Canucks,2.61,2.35,4.6
Tampa Bay Lightning,Chicago Blackhawks,1.7,4.2,4.85
Columbus Blue Jackets,Dallas Stars,3.9,1.78,4.7
St. Louis Blues,Arizona Coyotes,2.38,2.58,4.6
Winnipeg Jets,Nashville Predators,2.2,2.85,4.4
Colorado Avalanche,Seattle Kraken,1.81,3.65,4.7
Los Angeles Kings,Pittsburgh Penguins,2.43,2.7,4.65
San Jose Sharks,Edmonton Oilers,5.75,1.49,5.6
Buffalo Sabres,Minnesota Wild,2.39,2.55,4.6
Florida Panthers,Carolina Hurricanes,2.98,2.23,4.65
New Jersey Devils,Washington Capitals,1.86,3.65,4.7
Toronto Maple Leafs,Calgary Flames,2.02,3.15,4.55
Anaheim Ducks,Philadelphia Flyers,2.55,2.38,4.5
Vegas Golden Knights,San Jose Sharks,1.34,7.5,6.3
Detroit Red Wings,Columbus Blue Jackets,2.0,3.25,4.65
Winnipeg Jets,Dallas Stars,2.65,2.38,4.4
Montreal Canadiens,Boston Bruins,3.65,1.83,4.6
Ottawa Senators,Calgary Flames,2.18,2.85,4.65
Tampa Bay Lightning,Carolina Hurricanes,2.8,2.25,4.6
Toronto Maple Leafs,Vancouver Canucks,2.39,2.7,4.65
NY Islanders,Washington Capitals,1.93,3.35,4.55
Pittsburgh Penguins,Buffalo Sabres,1.85,3.5,4.85
Nashville Predators,Arizona Coyotes,2.06,3.0,4.5
Colorado Avalanche,St. Louis Blues,1.71,4.2,4.9
Seattle Kraken,Edmonton Oilers,2.75,2.23,4.65
Los Angeles Kings,Philadelphia Flyers,1.72,4.0,4.85
Florida Panthers,Chicago Blackhawks,1.58,4.8,5.05
Minnesota Wild,Dallas Stars,2.78,2.4,4.45
Montreal Canadiens,Vancouver Canucks,3.3,1.97,4.6
NY Rangers,Columbus Blue Jackets,1.68,4.2,4.85
Anaheim Ducks,San Jose Sharks,1.81,3.75,4.7
Edmonton Oilers,NY Islanders,2.04,3.1,4.45
Seattle Kraken,Colorado Avalanche,3.05,2.06,4.4
Buffalo Sabres,Boston Bruins,3.0,2.08,4.5
Columbus Blue Jackets,Pittsburgh Penguins,3.45,1.87,4.75
Montreal Canadiens,Calgary Flames,3.15,2.02,4.5
Washington Capitals,Vegas Golden Knights,3.1,2.05,4.45
Dallas Stars,Arizona Coyotes,1.71,4.0,4.8
Nashville Predators,Anaheim Ducks,1.9,3.4,4.6
St. Louis Blues,Tampa Bay Lightning,2.8,2.18,4.6
Winnipeg Jets,New Jersey Devils,2.2,2.95,4.8
San Jose Sharks,Florida Panthers,4.75,1.58,5.2
Carolina Hurricanes,Philadelphia Flyers,1.7,4.0,4.9
Edmonton Oilers,Seattle Kraken,1.85,3.65,4.85
Colorado Avalanche,Anaheim Ducks,1.55,5.0,5.3
Vancouver Canucks,NY Islanders,2.06,3.1,4.5
Ottawa Senators,Detroit Red Wings,2.23,2.75,4.6
Columbus Blue Jackets,Arizona Coyotes,2.63,2.35,4.6
Montreal Canadiens,Vegas Golden Knights,3.55,1.82,4.75
Pittsburgh Penguins,New Jersey Devils,2.08,2.95,4.65
Calgary Flames,Vancouver Canucks,2.1,2.95,4.6
Seattle Kraken,NY Islanders,2.4,2.55,4.4
Los Angeles Kings,Florida Panthers,2.3,2.81,4.7
San Jose Sharks,St. Louis Blues,4.0,1.74,4.8
Detroit Red Wings,Toronto Maple Leafs,3.38,1.91,4.6
Winnipeg Jets,Buffalo Sabres,1.86,3.5,4.6
Anaheim Ducks,Florida Panthers,3.35,1.95,4.55
Ottawa Senators,Minnesota Wild,2.5,2.45,4.6
Philadelphia Flyers,Vegas Golden Knights,3.15,2.02,4.5
Nashville Predators,Chicago Blackhawks,1.86,3.55,4.65
Tampa Bay Lightning,Edmonton Oilers,2.85,2.24,4.9
Calgary Flames,NY Islanders,2.13,2.9,4.4
Winnipeg Jets,Arizona Coyotes,2.05,3.05,4.6
Boston Bruins,Montreal Canadiens,1.63,4.55,4.95
Carolina Hurricanes,Pittsburgh Penguins,1.96,3.3,4.65
New Jersey Devils,NY Rangers,2.43,2.5,4.4
Washington Capitals,Columbus Blue Jackets,2.02,3.15,4.55
Dallas Stars,Colorado Avalanche,2.25,2.75,4.5
Vancouver Canucks,Seattle Kraken,2.0,3.2,4.6
Los Angeles Kings,St. Louis Blues,1.86,3.5,4.6
Minnesota Wild,Toronto Maple Leafs,3.15,1.98,4.7
Philadelphia Flyers,Columbus Blue Jackets,1.95,3.2,4.75
Pittsburgh Penguins,Vegas Golden Knights,2.71,2.39,4.65
